Time_s,Speed_kmh,WheelDemand_kW,MotorDC_kW,Auxiliary_kW,Battery1SOE_pct,Battery2SOE_pct,Genset_kW,RegenAvailable_kW,RegenToAuxiliary_kW,RegenToActiveBattery_kW,ResistorLoadBank_kW,ActiveBattery,Mode,BalanceResidual_kW
3200,0,0,-0,9.96545454545455,70.9543262229091,72.7765656565672,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3210,0,0,-0,9.96545454545455,70.9401012392597,72.941492424244,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3220,0,0,-0,9.96545454545455,70.9258762556102,73.1064191919209,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3230,0,0,-0,9.96545454545455,70.9116512719607,73.2713459595977,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3240,0,0,-0,9.96545454545455,70.8974262883113,73.4362727272745,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3250,0,0,-0,9.96545454545455,70.8832013046618,73.6011994949514,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3260,0,0,-0,9.96545454545455,70.8689763210124,73.7661262626282,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3270,0,0,-0,9.96545454545455,70.8547513373629,73.931053030305,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3280,0,0,-0,9.96545454545455,70.8405263537135,74.0959797979819,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3290,0,0,-0,9.96545454545455,70.826301370064,74.2609065656587,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3300,0,0,-0,9.96545454545455,70.8120763864146,74.4258333333355,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3310,0,0,-0,9.96545454545455,70.7978514027651,74.5907601010124,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3320,0,0,-0,9.96545454545455,70.7836264191156,74.7556868686892,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3330,0,0,-0,9.96545454545455,70.7694014354662,74.920613636366,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3340,0,0,-0,9.96545454545455,70.7551764518167,75.0855404040429,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3350,0,0,-0,9.96545454545455,70.7409514681673,75.2504671717197,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3360,14.4,86.977915194157,93.0118474039243,9.0595041322314,70.7087203818074,75.4153939393965,123.181818181818,0,0,0,0,1,3,0
3370,35.9697167755993,15.6001590852125,16.6823913067096,9.0595041322314,70.5102019638114,75.5803207070734,123.181818181818,0,0,0,0,1,3,-7.105427357601e-15
3380,37.7,23.3513385748986,24.9712945562961,9.0595041322314,70.4480954560445,75.7452474747502,123.181818181818,0,0,0,0,1,3,1.4210854715202e-14
3390,33.7,12.5299770511626,13.3992210649779,9.0595041322314,70.4341737722636,75.910174242427,123.181818181818,0,0,0,0,1,3,-7.105427357601e-15
3400,4.54000000000001,-29.9829897412122,-25.9699028506679,9.0595041322314,70.486405090538,76.0751010101039,123.181818181818,25.9699028506679,9.0595041322314,16.9103987184365,0,1,6,0
3410,0,-0,-0,9.96545454545455,70.4758667197485,76.2400277777807,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3420,22.8,-7.30799420930821,-6.3298524025478,9.0595041322314,70.4036578866619,76.4049545454575,123.181818181818,6.3298524025478,6.3298524025478,0,0,1,3,-6.21724893790088e-15
3430,8.76,-63.97461553797,-55.4119040419197,9.0595041322314,70.4338448655182,76.5698813131343,123.181818181818,55.4119040419197,9.0595041322314,46.3523999096883,0,1,6,7.105427357601e-15
3440,0,-0,-0,9.96545454545455,70.4310385229141,76.7348080808112,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3450,0,-0,-0,9.96545454545455,70.4168135392646,76.899734848488,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3460,0,-0,-0,9.96545454545455,70.4025885556152,77.0646616161648,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3470,0,-0,-0,9.96545454545455,70.3883635719657,77.2295883838417,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3480,0,-0,-0,9.96545454545455,70.3741385883163,77.3945151515185,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3490,0,-0,-0,9.96545454545455,70.3599136046668,77.5594419191953,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3500,21.6,93.1366091794736,99.5977894087542,9.0595041322314,70.3028435798982,77.7243686868722,123.181818181818,0,0,0,0,1,3,0
3510,36.8,1.30671468131433,1.39736559869902,9.0595041322314,70.1425683745495,77.889295454549,123.181818181818,0,0,0,0,1,3,7.105427357601e-15
3520,13.4,-117.237374602493,-101.545684909107,9.0595041322314,70.2386624412378,78.0542222222258,123.181818181818,101.545684909107,9.0595041322314,92.4861807768754,0,1,6,0
3530,0,-0,-0,9.96545454545455,70.2555415093603,78.2191489899027,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3540,0,-0,-0,9.96545454545455,70.2413165257108,78.3840757575795,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3550,0,-0,-0,9.96545454545455,70.2270915420614,78.5490025252563,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3560,28.8,132.683070399643,141.88771332984,9.0595041322314,70.1564587234558,78.7139292929332,123.181818181818,0,0,0,0,1,3,0
3570,41,-6.4338993614598,-5.57275117692551,9.0595041322314,70.0008656848646,78.87885606061,123.181818181818,5.57275117692551,5.57275117692551,0,0,1,3,4.44089209850063e-15
3580,31.64,-192.215121389027,-166.488001096203,9.0595041322314,70.0240202924861,79.0437828282868,123.181818181818,166.488001096203,9.0595041322314,157.428496963971,0,1,6,0
3590,0,-0,-0,9.96545454545455,70.0943998111182,79.2087095959637,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3600,0,0,-0,9.96545454545455,70.0801748274688,79.3736363636405,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3610,0,0,-0,9.96545454545455,70.0659498438193,79.5385631313173,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3620,0,0,-0,9.96545454545455,70.0517248601699,79.7034898989941,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3630,21.6,124.881602852552,133.545033381754,9.0595041322314,69.9916568750932,79.868416666671,123.181818181818,0,0,0,0,1,3,2.8421709430404e-14
3640,10.48,-73.9515150087474,-64.0534408680766,9.0595041322314,69.9496391578234,80.0333434343478,123.181818181818,64.0534408680766,9.0595041322314,54.9939367358452,0,1,6,-7.105427357601e-15
3650,18,83.4347685010423,89.2229014535178,9.0595041322314,69.9261584309339,80.1982702020246,123.181818181818,0,0,0,0,1,3,0
3660,38.9,16.9056734833161,18.0784733547671,9.0595041322314,69.7655345594783,80.3631969697015,123.181818181818,0,0,0,0,1,3,0
3670,23.78,-149.51113502179,-129.499749195192,9.0595041322314,69.7769106565713,80.5281237373783,123.181818181818,129.499749195192,9.0595041322314,120.44024506296,0,1,6,0
3680,0,-0,-0,9.0595041322314,69.8193175261568,80.6930505050551,123.181818181818,0,0,0,0,1,3,5.32907051820075e-15
3690,28.1,25.6883133425006,27.4703926317766,9.0595041322314,69.6965412509492,80.857977272732,123.181818181818,0,0,0,0,1,3,-7.105427357601e-15
3700,0,-0,-0,9.96545454545455,69.7149773099953,81.0229040404088,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3710,0,0,-0,9.96545454545455,69.7007523263459,81.1878308080856,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3720,0,0,-0,9.96545454545455,69.6865273426964,81.3527575757625,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3730,28.8,166.914893445093,178.4943058695,9.0595041322314,69.5879752991798,81.5176843434393,123.181818181818,0,0,0,0,1,3,-2.8421709430404e-14
3740,32.92,-102.495600236365,-88.7770300338197,9.0595041322314,69.4037561627763,81.6826111111161,123.181818181818,88.7770300338197,9.0595041322314,79.7175259015883,0,1,6,0
3750,0,0,-0,9.96545454545455,69.4213845643366,81.847537878793,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3760,0,0,-0,9.96545454545455,69.4071595806871,82.0124646464698,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3770,0,0,-0,9.96545454545455,69.3929345970377,82.1773914141466,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3780,0,0,-0,9.96545454545455,69.3787096133882,82.3423181818235,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3790,0,0,-0,9.96545454545455,69.3644846297388,82.5072449495003,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3800,0,0,-0,9.0595041322314,69.3502596460893,82.6721717171771,123.181818181818,0,0,0,0,1,3,5.32907051820075e-15
3810,36,318.400627258457,340.489082657006,9.0595041322314,69.1149385354258,82.837098484854,123.181818181818,0,0,0,0,1,3,0
3820,38.3,48.4414579415208,51.8019946100413,9.0595041322314,68.9016558627458,83.0020252525308,123.181818181818,0,0,0,0,1,3,-7.105427357601e-15
3830,38.3,35.4253457324663,37.8829136585326,9.0595041322314,68.8326793013983,83.1669520202076,123.181818181818,0,0,0,0,1,3,7.105427357601e-15
3840,24.26,-192.603993248606,-166.824824224977,9.0595041322314,68.8408615146178,83.3318787878844,123.181818181818,166.824824224977,9.0595041322314,157.765320092745,0,1,6,0
3850,0,-0,-0,9.96545454545455,68.8984419395603,83.4968055555613,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3860,10.8,41.2410476773352,44.102069183649,9.0595041322314,68.8793770876827,83.6617323232381,123.181818181818,0,0,0,0,1,3,0
3870,10.16,-49.801296880902,-43.1356196629245,9.0595041322314,68.8154367226676,83.8266590909149,123.181818181818,43.1356196629245,9.0595041322314,34.0761155306931,0,1,6,0
3880,0,0,-0,9.96545454545455,68.8063067284172,83.9915858585918,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3890,0,0,-0,9.96545454545455,68.7920817447677,84.1565126262686,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3900,0,0,-0,9.96545454545455,68.7778567611183,84.3214393939454,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3910,0,0,-0,9.96545454545455,68.7636317774688,84.4863661616223,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3920,10.8,75.5999435463817,80.8445499893256,9.0595041322314,68.7391468716697,84.6512929292991,123.181818181818,0,0,0,0,1,3,1.4210854715202e-14
3930,33.5,-38.1018423927636,-33.0020839786849,9.0595041322314,68.5674571929823,84.8162196969759,123.181818181818,33.0020839786849,9.0595041322314,23.9425798464535,0,1,6,0
3940,33.5,-18.4301069319115,-15.9633208922885,9.0595041322314,68.5983548781665,84.9811464646528,123.181818181818,15.9633208922885,9.0595041322314,6.9038167600571,0,1,6,-7.105427357601e-15
3950,33.5,-1.05385243433666,-0.912799076239036,9.0595041322314,68.5976623226242,85.1460732323296,123.181818181818,0.912799076239036,0.912799076239036,0,0,1,3,-1.24344978758018e-14
3960,27.74,58.7112567456234,62.7842417368425,9.0595041322314,68.6257299062853,85.3110000000064,123.181818181818,0,0,0,0,1,3,0
3970,0,-0,-0,9.96545454545455,68.6536552064554,85.4759267676833,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
3980,14.4,71.3852074821497,76.3374243956727,9.0595041322314,68.6249993456908,85.6408535353601,123.181818181818,0,0,0,0,1,3,0
3990,22.32,-107.726460185621,-93.3077631555034,9.0595041322314,68.5254267122142,85.8057803030369,123.181818181818,93.3077631555034,9.0595041322314,84.248259023272,0,1,6,0
4000,10.8,60.7503418959313,64.9647846530607,9.0595041322314,68.5473768079884,85.9707070707138,123.181818181818,0,0,0,0,1,3,0
4010,25.7,33.6525060422141,35.9870864893796,9.0595041322314,68.4234762959572,86.1356338383906,123.181818181818,0,0,0,0,1,3,-7.105427357601e-15
4020,1.22,-4.01515913159017,-3.47774833255015,9.0595041322314,68.416972730546,86.3005606060674,123.181818181818,3.47774833255015,3.47774833255015,0,0,1,3,-9.76996261670138e-15
4030,0,0,-0,9.96545454545455,68.4033734889808,86.4654873737443,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4040,21.6,136.634222125374,146.112968908375,9.0595041322314,68.3375892240397,86.6304141414211,123.181818181818,0,0,0,0,1,3,0
4050,36.3,-20.5351871136459,-17.786645660244,9.0595041322314,68.1878913755316,86.7953409090979,123.181818181818,17.786645660244,9.0595041322314,8.72714152801262,0,1,6,-1.77635683940025e-15
