Evaluation,Battery1ID,Battery2ID,MotorID,GensetID,TyreID,FinalDriveID,MassID,AuxID,RouteID,ControlID,Feasible,RejectionReason,CostPer_km,Fuel_L_per_100km,Electrical_kWh_per_km,TotalSourceEnergy_kWh_per_km,FinalBattery1SOE,FinalBattery2SOE,UnmetTractionEnergy_kWh,EstimatedVehicleMass_kg
62,BAT-02,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
63,BAT-03,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.2206499583786,0,1.22583310210334,1.22583310210334,0.800007357789131,0.758739778214217,0,18022.7272727273
64,BAT-04,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.220331068218228,0,1.22406149010127,1.22406149010127,0.803645350940832,0.758780991950906,0,18077.2727272727
65,BAT-05,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.220014362118653,0,1.22230201177029,1.22230201177029,0.8067978494755,0.758822205687595,0,18131.8181818182
66,BAT-06,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.219700089256726,0,1.22055605142626,1.22055605142626,0.809555837763347,0.75886347526603,0,18186.3636363636
67,BAT-07,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.21938819555039,0,1.21882330861328,1.21882330861328,0.811988944629917,0.758904815505833,0,18240.9090909091
68,BAT-08,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.219078371957033,0,1.21710206642796,1.21710206642796,0.81415136754858,0.758946155745637,0,18295.4545454545
69,BAT-09,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.21877052889045,0,1.21539182716917,1.21539182716917,0.81608585997785,0.758987505845563,0,18350
70,BAT-10,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.21846520441996,0,1.21369558011089,1.21369558011089,0.817826532249426,0.759028971323709,0,18404.5454545455
71,BAT-11,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
72,BAT-12,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
73,BAT-01,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
74,BAT-02,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
75,BAT-03,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.219741499353806,0,1.22078610752114,1.22078610752114,0.800213187272733,0.758917814279316,0,18040.9090909091
76,BAT-04,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.219423419165281,0,1.21901899536267,1.21901899536267,0.803836307911442,0.758959710863193,0,18095.4545454545
77,BAT-05,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.219107748374004,0,1.21726526874447,1.21726526874447,0.806975872687652,0.759001633359896,0,18150
78,BAT-06,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.218794097705311,0,1.21552276502951,1.21552276502951,0.809722619986397,0.759043555856598,0,18204.5454545455
79,BAT-07,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.218482802208094,0,1.21379334560052,1.21379334560052,0.812145812488642,0.759085536233719,0,18259.0909090909
80,BAT-08,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.218173967684385,0,1.21207759824658,1.21207759824658,0.814299358681014,0.759127601559899,0,18313.6363636364
81,BAT-09,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.217867269585791,0,1.21037371992106,1.21037371992106,0.816225884608635,0.75916970737791,0,18368.1818181818
82,BAT-10,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.217562474474384,0,1.20868041374658,1.20868041374658,0.817959477689724,0.759211813195921,0,18422.7272727273
83,BAT-11,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
84,BAT-12,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
85,BAT-01,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
86,BAT-02,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
87,BAT-03,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
88,BAT-04,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
